Geneid	ENSEMBL	log2FoldChange	padj	DEG
Gsdmc2	ENSMUSG00000056293.12	2.69	9.33465411898993e-29	Upregulated
Gsdmc4	ENSMUSG00000055748.12	2.66	1.06043184490555e-28	Upregulated
Car4	ENSMUSG00000000805.18	2.11	1.88314992259784e-25	Upregulated
Duoxa2	ENSMUSG00000027225.7	2.97	2.09792189526668e-22	Upregulated
Neat1	ENSMUSG00000092274.3	-2.25	2.09792189526668e-22	Downregulated
Gsdmc3	ENSMUSG00000055827.13	2.51	9.60142234511049e-20	Upregulated
Me1	ENSMUSG00000032418.15	2.36	4.28422160758324e-18	Upregulated
Sprr2a3	ENSMUSG00000074445.4	2.45	5.85340443886916e-18	Upregulated
Olfr418	ENSMUSG00000049605.3	-2.85	1.52011623600617e-17	Downregulated
Pla2g4c	ENSMUSG00000033847.15	6.49	1.52011623600617e-17	Upregulated
Acta1	ENSMUSG00000031972.5	2.52	1.74151183778254e-17	Upregulated
Mbl2	ENSMUSG00000024863.6	3.91	1.31309961899574e-16	Upregulated
Rims4	ENSMUSG00000035226.5	-3.76	4.80841933504772e-16	Downregulated
Gm10719	ENSMUSG00000095547.1	-5.39	5.36128376276409e-15	Downregulated
Gm10722	ENSMUSG00000091028.1	-4.79	5.80521336915565e-15	Downregulated
Ttn	ENSMUSG00000051747.14	-3.99	7.63056336309401e-15	Downregulated
Igha	ENSMUSG00000095079.6	2.15	6.14549173265862e-14	Upregulated
Ces1d	ENSMUSG00000056973.6	-1.7	5.79799015704802e-10	Downregulated
Duox2	ENSMUSG00000068452.8	1.59	2.22613219425405e-09	Upregulated
Muc2	ENSMUSG00000025515.15	-1.27	5.3935973741404e-09	Downregulated
Capn13	ENSMUSG00000043705.7	1.55	8.35009302045275e-09	Upregulated
Plb1	ENSMUSG00000029134.14	-1.72	8.92478092062185e-09	Downregulated
Alox5	ENSMUSG00000025701.12	1.64	3.05776474291366e-08	Upregulated
Cyp2b10	ENSMUSG00000030483.14	-1.26	3.05776474291366e-08	Downregulated
Gm10720	ENSMUSG00000074564.3	-5.18	3.4059105811121e-08	Downregulated
Tspan6	ENSMUSG00000067377.12	1.93	6.35497878932391e-08	Upregulated
Ada	ENSMUSG00000017697.3	1.2	1.01944172915066e-07	Upregulated
Oxct1	ENSMUSG00000022186.14	1.07	1.01944172915066e-07	Upregulated
Cyp1a1	ENSMUSG00000032315.6	4.54	1.17445991063074e-07	Upregulated
Lbx2	ENSMUSG00000034968.3	4.67	2.17852145218397e-07	Upregulated
H2-Q10	ENSMUSG00000067235.14	1.82	2.17852145218397e-07	Upregulated
Crip2	ENSMUSG00000006356.10	2.22	2.76372199176363e-07	Upregulated
Ggh	ENSMUSG00000073987.4	1.38	3.89081819733336e-07	Upregulated
Cubn	ENSMUSG00000026726.10	-1.49	4.21449940520903e-07	Downregulated
Bst1	ENSMUSG00000029082.17	1.42	4.21449940520903e-07	Upregulated
Gm37985	ENSMUSG00000104211.1	-4.03	4.68126677385478e-07	Downregulated
Cd55	ENSMUSG00000026399.12	1.25	4.73782021290217e-07	Upregulated
Gm10715	ENSMUSG00000096201.1	-4.88	4.79717225771404e-07	Downregulated
Slc25a4	ENSMUSG00000031633.4	1.34	5.87759375826922e-07	Upregulated
Cd19	ENSMUSG00000030724.7	-2.25	6.41351061995407e-07	Downregulated
Gstm1	ENSMUSG00000058135.12	-1.17	6.80502295226534e-07	Downregulated
Bag2	ENSMUSG00000042215.8	1.92	8.06716950288051e-07	Upregulated
Defa-ps6	ENSMUSG00000095328.1	2	2.22547038183824e-06	Upregulated
Firre	ENSMUSG00000085396.7	-1.52	2.56644037583595e-06	Downregulated
Atp23	ENSMUSG00000025436.12	1.57	3.22720164950904e-06	Upregulated
Blvrb	ENSMUSG00000040466.16	1.15	4.94179851170139e-06	Upregulated
Apoa2	ENSMUSG00000005681.12	5.46	5.86463501877572e-06	Upregulated
Leng8	ENSMUSG00000035545.13	-1.1	6.71030642971034e-06	Downregulated
Usf1	ENSMUSG00000026641.13	1.17	7.12563806750849e-06	Upregulated
Mlxipl	ENSMUSG00000005373.13	-1.04	7.50858909684777e-06	Downregulated
Siva1	ENSMUSG00000064326.13	1.22	9.45018606317349e-06	Upregulated
Pop5	ENSMUSG00000060152.14	1.03	9.4856900666187e-06	Upregulated
Hck	ENSMUSG00000003283.14	1.2	9.52497211988484e-06	Upregulated
Siglecf	ENSMUSG00000039013.16	1.55	9.78758891790407e-06	Upregulated
Pla2g5	ENSMUSG00000041193.15	2.04	1.38555607896144e-05	Upregulated
Limd2	ENSMUSG00000040699.13	1.37	2.36306936230682e-05	Upregulated
Rgcc	ENSMUSG00000022018.7	1.37	2.79215129496898e-05	Upregulated
Cmtm7	ENSMUSG00000032436.17	1.26	2.91355310124799e-05	Upregulated
1700097N02Rik	ENSMUSG00000099474.1	1.61	3.03010991286197e-05	Upregulated
H2-Ab1	ENSMUSG00000073421.6	0.87	3.20652470596909e-05	NS
Gm26917	ENSMUSG00000097971.3	-0.94	3.20652470596909e-05	NS
P2ry4	ENSMUSG00000044359.1	-2.27	3.72518135398257e-05	Downregulated
Srrm2	ENSMUSG00000039218.17	-0.87	3.83211053300909e-05	NS
Baiap2l2	ENSMUSG00000018126.15	-0.96	3.88206975613174e-05	NS
Acox2	ENSMUSG00000021751.13	-1.99	4.039958193666e-05	Downregulated
Fkbp9	ENSMUSG00000029781.7	1.79	4.06560219910463e-05	Upregulated
