seqnames	start	end	width	strand	peakID	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	SYMBOL
chr7	3664442	3664743	302	*	peak_2428	Promoter	7	3660098	3665840	5743	2	Leng1
chr8	83199578	83200817	1240	*	peak_2684	Intron	8	83165860	83272934	107075	1	Tbc1d9
chr13	20147802	20148111	310	*	peak_696	Intron	13	20111512	20342888	231377	1	Elmo1
chr4	56639205	56639610	406	*	peak_1896	Distal Intergenic	4	56740005	56741443	1439	2	Actl7b
chr18	61614281	61614892	612	*	peak_1373	Distal Intergenic	18	61639542	61647292	7751	1	Bvht
chr5	103916746	103918099	1354	*	peak_2169	Distal Intergenic	5	103862050	103911259	49210	2	Klhl8
chr11	83882888	83883192	305	*	peak_469	Intron	11	83852960	83905819	52860	1	Hnf1b
chr5	21424829	21425220	392	*	peak_2061	Promoter	5	21424958	21482124	57167	1	Fam185a
chr16	24313678	24314252	575	*	peak_1103	Intron	16	24393507	24685183	291677	1	Lpp
chr1	75142163	75142485	323	*	peak_60	Promoter	1	75134554	75142638	8085	2	Cnppd1
chr17	70707240	70707826	587	*	peak_1266	Intron	17	70809072	70819401	10330	1	Dlgap1
chr9	42121634	42122042	409	*	peak_2802	Promoter	9	41964720	42124297	159578	2	Sorl1
chr17	79721262	79721553	292	*	peak_1281	Distal Intergenic	17	79706894	79715061	8168	2	Cyp1b1
chr11	23498244	23498557	314	*	peak_400	Promoter	11	23488547	23498030	9484	2	Ahsa2
chr4	150748254	150748800	547	*	peak_2042	Distal Intergenic	4	150628572	150652174	23603	2	Slc45a1
chr9	54570869	54572052	1184	*	peak_2826	Distal Intergenic	9	54544794	54560218	15425	2	Cib2
chr10	59972163	59973487	1325	*	peak_257	Distal Intergenic	10	59988404	59990383	1980	2	Anapc16
chr4	95622987	95623797	811	*	peak_1938	Promoter	4	95623549	95877103	253555	1	Fggy
chr4	134975414	134975637	224	*	peak_1996	Distal Intergenic	4	134931010	134936078	5069	1	Syf2
chr1	133012403	133012899	497	*	peak_107	Exon	1	132996641	133018858	22218	2	Mdm4
chr11	5297078	5297452	375	*	peak_378	Intron	11	5191552	5261558	70007	2	Kremen1
chr10	79701568	79702133	566	*	peak_282	Promoter	10	79704491	79711969	7479	1	Bsg
chr1	127233057	127233681	625	*	peak_95	Intron	1	127205028	127398792	193765	1	Mgat5
chr5	144222912	144223476	565	*	peak_2239	Promoter	5	144195351	144223547	28197	2	Tecpr1
chr15	7933737	7934467	731	*	peak_959	Intron	15	7873055	7886377	13323	2	Wdr70
chr3	127929381	127929716	336	*	peak_1819	Intron	3	127916172	127955220	39049	1	9830132P13Rik
chr8	23108928	23109192	265	*	peak_2619	Intron	8	23120949	23127046	6098	1	Ank1
chr10	99229348	99229727	380	*	peak_316	Distal Intergenic	10	99263231	99267488	4258	1	Dusp6
chr13	110430929	110431378	450	*	peak_814	Distal Intergenic	13	110397797	110399035	1239	1	Plk2
chr10	67004199	67004794	596	*	peak_263	Promoter	10	67005020	67040806	35787	1	Gm31763
chr8	69286692	69286906	215	*	peak_2669	Intron	8	69300776	69303162	2387	1	D130040H23Rik
chr2	74257155	74258132	978	*	peak_1600	Distal Intergenic	2	74298940	74307717	8778	2	4930441J16Rik
chr17	83352380	83352786	407	*	peak_1289	Promoter	17	83351215	83478167	126953	1	Eml4
chr6	146488892	146489126	235	*	peak_2420	Intron	6	146421418	146501878	80461	2	Itpr2
chr16	10452350	10452837	488	*	peak_1081	Distal Intergenic	16	10420557	10447362	26806	2	Tvp23a
chr11	61267075	61267411	337	*	peak_432	Promoter	11	61223417	61267185	43769	2	Aldh3a2
chr5	139345091	139345383	293	*	peak_2230	Promoter	5	139336189	139345233	9045	2	Cox19
chr7	80246226	80246680	455	*	peak_2496	Promoter	7	80246376	80260821	14446	1	Ttll13
chr10	68356990	68357405	416	*	peak_273	Distal Intergenic	10	68319071	68321142	2072	2	4930545H06Rik
chr12	77195214	77195669	456	*	peak_636	Distal Intergenic	12	77238125	77475985	237861	1	Fut8
chr10	40302190	40302830	641	*	peak_242	Promoter	10	40287458	40302188	14731	2	Amd1
chr1	74816933	74817538	606	*	peak_58	Distal Intergenic	1	74793363	74803495	10133	1	Wnt10a
chr4	148807600	148807888	289	*	peak_2033	Intron	4	148804465	148839746	35282	1	Casz1
chr5	139398425	139399126	702	*	peak_2233	Intron	5	139405280	139415621	10342	1	C130050O18Rik
chr8	126829566	126829892	327	*	peak_2763	Intron	8	126839233	126851473	12241	1	A630001O12Rik
chr4	133662868	133663876	1009	*	peak_1991	Intron	4	133660387	133672647	12261	2	Pigv
chr11	120660519	120660773	255	*	peak_588	Promoter	11	120653788	120660606	6819	2	Notum
chr18	57647749	57649198	1450	*	peak_1368	Intron	18	57632079	57638585	6507	2	2210409D07Rik
chr7	46013453	46013903	451	*	peak_2472	Intron	7	45996677	46001069	4393	2	Abcc6
chr5	34990748	34991023	276	*	peak_2083	Promoter	5	34989549	35039635	50087	1	Rgs12
chr2	110073021	110073832	812	*	peak_1632	Intron	2	110031251	110050479	19229	2	Ccdc34os
chr9	45110247	45110871	625	*	peak_2813	Exon	9	45103860	45107453	3594	1	Jaml
chr15	9088810	9089451	642	*	peak_962	Intron	15	9092209	9108316	16108	1	Nadk2
chr16	39037129	39037707	579	*	peak_1133	Distal Intergenic	16	38902508	38924468	21961	1	Igsf11
chr16	37685028	37685515	488	*	peak_1126	Distal Intergenic	16	37647170	37654453	7284	2	Ndufb4
chr6	7277219	7277985	767	*	peak_2260	Distal Intergenic	6	7554879	7562977	8099	1	Tac1
chr18	64850506	64850814	309	*	peak_1382	Distal Intergenic	18	64887705	65213404	325700	1	Nedd4l
chr6	143561641	143561966	326	*	peak_2417	Distal Intergenic	6	143533965	143535508	1544	2	4930579D09Rik
chr3	152114910	152115222	313	*	peak_1852	Intron	3	152093533	152108522	14990	2	Gipc2
chr9	31301886	31302311	426	*	peak_2791	Intron	9	31313553	31378543	64991	1	Prdm10
chr6	37721529	37721779	251	*	peak_2289	Distal Intergenic	6	37870811	37921505	50695	1	Trim24
chr13	36867803	36868294	492	*	peak_731	3' UTR	13	36726636	36735131	8496	2	Nrn1
chr4	8666823	8667095	273	*	peak_1862	Distal Intergenic	4	8690406	8755906	65501	1	Chd7
chr13	70682050	70682295	246	*	peak_774	Distal Intergenic	13	70606756	70637634	30879	2	Ice1
chr11	117651003	117651622	620	*	peak_576	Distal Intergenic	11	117654289	117763437	109149	1	Tnrc6c
chr1	191072555	191072786	232	*	peak_196	Intron	1	191063031	191086474	23444	1	Nsl1
chr13	37460285	37460787	503	*	peak_732	Distal Intergenic	13	37345208	37419036	73829	1	Ly86
chr16	4559808	4560034	227	*	peak_1078	Promoter	16	4544661	4559854	15194	2	Tfap4
chr7	114231960	114232374	415	*	peak_2543	Exon	7	114215594	114218161	2568	2	Copb1
chr6	82939454	82939943	490	*	peak_2332	Promoter	6	82911885	82939769	27885	2	Sema4f
chr4	8799389	8799975	587	*	peak_1863	Intron	4	8840322	8844721	4400	1	Chd7
chr5	46445227	46446262	1036	*	peak_2096	Distal Intergenic	5	45926818	45932409	5592	2	4930405L22Rik
chr16	17945214	17945467	254	*	peak_1091	Distal Intergenic	16	17925223	17928219	2997	2	Slc25a1
chr9	84461501	84461872	372	*	peak_2872	Distal Intergenic	9	84774398	84784351	9954	1	4930554C24Rik
chr8	106338021	106338253	233	*	peak_2704	Promoter	8	106252548	106337988	85441	2	Smpd3
chr16	46848626	46849245	620	*	peak_1143	Distal Intergenic	16	46458852	46498525	39674	2	Nectin3
chr14	12099956	12100332	377	*	peak_831	Intron	14	12091160	12122132	30973	1	Ptprg
chr16	91531910	91533231	1322	*	peak_1165	Distal Intergenic	16	91527443	91527544	102	2	Mir6367
chr1	74661741	74662109	369	*	peak_57	Promoter	1	74661745	74703730	41986	1	Ttll4
chr14	65879023	65879397	375	*	peak_905	Distal Intergenic	14	65837360	65840729	3370	1	Ccdc25
chr1	132008290	132008758	469	*	peak_105	Promoter	1	132008297	132018305	10009	1	Elk4
chr17	24201248	24201480	233	*	peak_1206	Promoter	17	24178855	24199957	21103	2	Tbc1d24
chr13	92609621	92610050	430	*	peak_782	Promoter	13	92611091	92711947	100857	1	Serinc5
chr11	20395843	20396913	1071	*	peak_394	Distal Intergenic	11	20302180	20332713	30534	2	Slc1a4
chr6	52682454	52682792	339	*	peak_2309	Distal Intergenic	6	52713729	52766780	53052	1	Tax1bp1
chr19	24063698	24064197	500	*	peak_1441	Distal Intergenic	19	23972750	24031019	58270	2	Fam189a2
chr4	144748734	144749568	835	*	peak_2026	Distal Intergenic	4	144703191	144721404	18214	2	AAdacl4fm3
chr12	8511254	8511612	359	*	peak_593	Exon	12	8497661	8500009	2349	2	Rhob
chr4	141513921	141514388	468	*	peak_2021	Intron	4	141495529	141516909	21381	2	Spen
chr4	55426260	55426532	273	*	peak_1891	Distal Intergenic	4	55410443	55418842	8400	2	Gm12505
chr14	54618077	54618382	306	*	peak_876	Promoter	14	54614119	54618022	3904	2	Psmb5
chr2	4985033	4985478	446	*	peak_1509	3' UTR	2	4991031	4993257	2227	2	Mcm10
chr4	118516625	118517077	453	*	peak_1967	Distal Intergenic	4	118526999	118529855	2857	1	2610528J11Rik
chr13	42300949	42301662	714	*	peak_743	Promoter	13	42301476	42307990	6515	1	Edn1
chr1	58742539	58742788	250	*	peak_40	Intron	1	58730552	58752453	21902	1	Cflar
chr4	32387896	32388446	551	*	peak_1872	Intron	4	32417435	32586108	168674	1	Bach2
chr3	159500062	159500281	220	*	peak_1856	Intron	3	159495458	159529459	34002	1	Depdc1a
chr2	59599863	59600217	355	*	peak_1573	Distal Intergenic	2	59612042	59845717	233676	1	Tanc1
chr7	117097510	117098044	535	*	peak_2547	Distal Intergenic	7	117380979	117635185	254207	1	Xylt1
chr4	156077148	156078038	891	*	peak_2050	Distal Intergenic	4	156052715	156059802	7088	2	Gm13648
chr10	66920441	66921423	983	*	peak_262	Promoter	10	66912489	66920258	7770	2	1110002J07Rik
chr17	14234450	14235199	750	*	peak_1198	Distal Intergenic	17	14197823	14204304	6482	2	Dact2
chr16	95779080	95779591	512	*	peak_1179	Intron	16	95715854	95719122	3269	1	Ets2
chr2	152029365	152029950	586	*	peak_1679	Distal Intergenic	2	151999897	152009246	9350	1	Slc52a3
chr11	99493539	99493901	363	*	peak_521	Promoter	11	99477974	99493137	15164	2	Krt23
chr11	72467113	72467434	322	*	peak_447	Intron	11	72459029	72475027	15999	2	Spns2
chr4	135140654	135141307	654	*	peak_1997	Intron	4	135152496	135176181	23686	1	Runx3
chr10	94035156	94035599	444	*	peak_305	Promoter	10	94003988	94035667	31680	2	Vezt
chr14	64392496	64392973	478	*	peak_897	Intron	14	64122626	64416948	294323	2	Msra
chr12	79661110	79661736	627	*	peak_643	Intron	12	79917019	79924733	7715	2	9430078K24Rik
chr10	36974716	36975003	288	*	peak_237	Promoter	10	36974570	36996111	21542	1	Hdac2
chr18	35726662	35727059	398	*	peak_1329	Promoter	18	35726989	35730869	3881	1	1700066B19Rik
chr17	84137835	84138421	587	*	peak_1290	Intron	17	84183931	84187947	4017	2	Zfp36l2
chr18	12256401	12256846	446	*	peak_1309	Intron	18	12252365	12271697	19333	2	Ankrd29
chr18	56670992	56672367	1376	*	peak_1365	Distal Intergenic	18	56707813	56753424	45612	1	Lmnb1
chr13	31458526	31459268	743	*	peak_719	Distal Intergenic	13	31556134	31560976	4843	1	Foxq1
chr8	117899918	117900281	364	*	peak_2732	Distal Intergenic	8	117791645	117801943	10299	2	Mphosph6
chr4	135738458	135739338	881	*	peak_1999	Intron	4	135728172	135752140	23969	1	Il22ra1
chr11	21092068	21092343	276	*	peak_396	Promoter	11	21092118	21149402	57285	1	Peli1
chr10	93421851	93422273	423	*	peak_304	Distal Intergenic	10	93433107	93433162	56	1	Mir7688
chr8	122444527	122444748	222	*	peak_2743	Promoter	8	122433601	122443422	9822	2	Mvd
chr14	58631270	58631868	599	*	peak_884	Distal Intergenic	14	59133040	59142893	9854	2	1700129C05Rik
chr9	120920298	120920498	201	*	peak_2925	Distal Intergenic	9	120913774	120915252	1479	2	1700020M21Rik
chr2	167503034	167503415	382	*	peak_1702	Promoter	2	167503089	167516173	13085	1	Rnf114
chr18	4737524	4737963	440	*	peak_1302	Distal Intergenic	18	4812486	4850959	38474	1	Gm10556
chr1	187897016	187897308	293	*	peak_188	Intron	1	187997827	188214885	217059	1	Esrrg
chr8	123632276	123632492	217	*	peak_2745	Intron	8	123653929	123655985	2057	1	Rhou
chr12	69776700	69776927	228	*	peak_630	Intron	12	69763835	69763944	110	2	Mir681
chr2	147928885	147929428	544	*	peak_1675	Distal Intergenic	2	148044240	148045464	1225	2	Foxa2
chr7	35372955	35373208	254	*	peak_2463	Intron	7	35379282	35381622	2341	1	Rhpn2
chr14	32772012	32772531	520	*	peak_852	Distal Intergenic	14	32785963	32817984	32022	1	Tmem273
chr1	178317624	178318677	1054	*	peak_175	Promoter	1	178319130	178322335	3206	1	Cox20
chr2	168104835	168105285	451	*	peak_1704	Distal Intergenic	2	168081004	168101203	20200	1	Pard6b
chr1	165616891	165617107	217	*	peak_154	Intron	1	165605644	165613979	8336	2	Mpzl1
chr13	44126223	44126437	215	*	peak_746	Distal Intergenic	13	44121294	44125179	3886	1	Gm5083
chr13	23752111	23752333	223	*	peak_704	Promoter	13	23752267	23752886	620	1	H3c2
chr15	97945633	97945968	336	*	peak_1053	Distal Intergenic	15	97964200	97967277	3078	1	Tmem106c
chr2	132847667	132848106	440	*	peak_1654	Promoter	2	132847734	132866441	18708	1	Crls1
chr14	77933127	77933364	238	*	peak_924	Intron	14	77904407	77964176	59770	1	Epsti1
chr15	79328978	79329229	252	*	peak_1015	Promoter	15	79308854	79328390	19537	2	Pla2g6
chr6	148944698	148945830	1133	*	peak_2426	Promoter	6	148944867	148947121	2255	1	3010003L21Rik
chr10	39171315	39171963	649	*	peak_238	Exon	10	39150970	39163794	12825	2	Ccn6
chr18	75370607	75371015	409	*	peak_1398	Promoter	18	75369976	75394365	24390	1	Smad7
chr7	19950212	19950437	226	*	peak_2441	Promoter	7	19937305	19950573	13269	2	Igsf23
chr10	11148892	11149209	318	*	peak_213	Promoter	10	11149427	11188150	38724	1	Shprh
chr15	102243896	102244165	270	*	peak_1070	Promoter	15	102241939	102243589	1651	2	Rarg
chr5	29205556	29206475	920	*	peak_2068	3' UTR	5	29198671	29225301	26631	1	Rnf32
chr13	119612922	119617625	4704	*	peak_827	Exon	13	119623819	119654359	30541	1	Ccl28
chr5	3342101	3342975	875	*	peak_2051	Promoter	5	3341485	3344453	2969	1	Cdk6
chr6	71048505	71049028	524	*	peak_2328	Distal Intergenic	6	71128656	71131972	3317	2	Thnsl2
chr5	32132828	32133198	371	*	peak_2078	Exon	5	32135801	32157842	22042	1	Fosl2
chr5	119055486	119055803	318	*	peak_2195	Distal Intergenic	5	119108234	119114543	6310	1	1700081H04Rik
chr2	110191835	110192055	221	*	peak_1634	Distal Intergenic	2	110262697	110305741	43045	2	Bbox1
chr10	123076691	123076891	201	*	peak_363	Promoter	10	122992060	123076505	84446	2	Mon2
chr9	45110929	45111140	212	*	peak_2814	Intron	9	45117782	45130070	12289	1	Scn2b
chr15	58823422	58823687	266	*	peak_987	Promoter	15	58782269	58823530	41262	2	Tmem65
chr4	6970120	6970782	663	*	peak_1860	Intron	4	6820694	6990483	169790	2	Tox
chr4	136302413	136302860	448	*	peak_2003	Distal Intergenic	4	136310942	136340681	29740	1	Hnrnpr
chr11	87680730	87681153	424	*	peak_479	Intron	11	87664549	87734540	69992	1	Rnf43
chr1	24107692	24108215	524	*	peak_18	Distal Intergenic	1	24051764	24100341	48578	2	Fam135a
chr2	143062913	143063173	261	*	peak_1664	Promoter	2	143063039	143072853	9815	1	Snrpb2
chr2	5135001	5135442	442	*	peak_1511	Promoter	2	5137776	5230878	93103	1	Ccdc3
chr11	53423043	53423247	205	*	peak_422	Promoter	11	53422181	53423170	990	2	Leap2
chr4	82512395	82512760	366	*	peak_1928	Intron	4	82508016	82547292	39277	1	Gm11266
chr14	68465295	68465625	331	*	peak_910	Intron	14	68497828	68509971	12144	2	Adam7
chr1	88929408	88929757	350	*	peak_82	Distal Intergenic	1	89016113	89022210	6098	1	1700067G17Rik
chr5	76389116	76389369	254	*	peak_2130	Distal Intergenic	5	76333495	76363788	30294	2	Nmu
chr2	32236540	32236823	284	*	peak_1542	Promoter	2	32236590	32255005	18416	1	Pomt1
chr3	35133514	35134629	1116	*	peak_1737	Distal Intergenic	3	34922545	34922651	107	2	Mir6378
chr2	21205009	21205302	294	*	peak_1522	Promoter	2	21194105	21205239	11135	2	Enkur
chr3	3503552	3503908	357	*	peak_1723	Distal Intergenic	3	3508030	3657844	149815	1	Hnf4g
chr19	42230833	42231333	501	*	peak_1472	Distal Intergenic	19	42247574	42270348	22775	1	Golga7b
chrY	90738230	90738821	592	*	peak_2962	Distal Intergenic	21	90752427	90755467	3041	2	G530011O06Rik
chr2	48399263	48399761	499	*	peak_1553	Intron	2	48814109	48903269	89161	1	Acvr2a
chr11	97661442	97662734	1293	*	peak_505	Promoter	11	97663414	97685463	22050	1	Mllt6
chr16	33193728	33194628	901	*	peak_1121	Intron	16	33185071	33243312	58242	1	Osbpl11
chr18	66075269	66075841	573	*	peak_1384	Promoter	18	66059673	66076403	16731	2	Ccbe1
chr6	142806450	142806731	282	*	peak_2415	Promoter	6	142785204	142804502	19299	2	Sult6b2
chr1	189106277	189106522	246	*	peak_191	Distal Intergenic	1	188980799	189007841	27043	2	Kctd3
chr15	81189866	81190116	251	*	peak_1024	Promoter	15	81045133	81190522	145390	2	Mrtfa
chr9	59656284	59656540	257	*	peak_2843	Promoter	9	59656368	59679375	23008	1	Pkm
chr18	9957574	9958222	649	*	peak_1305	Promoter	18	9957906	9995489	37584	1	Thoc1
